,date_open,date_close,diff
137,2020-06-15 09:40:00,2020-06-23 20:50:00,1
138,2020-06-23 20:50:00,2020-06-29 16:40:00,0
139,2020-06-29 16:40:00,2020-07-13 18:30:00,1
140,2020-07-13 18:30:00,2020-07-14 17:10:00,0
141,2020-07-14 17:10:00,2020-07-21 11:10:00,1
142,2020-07-21 11:10:00,2020-07-24 16:40:00,0
143,2020-07-24 16:40:00,2020-08-07 03:20:00,1
144,2020-08-07 03:20:00,2020-08-11 22:50:00,0
145,2020-08-11 22:50:00,2020-09-02 12:50:00,1
146,2020-09-02 12:50:00,2020-09-09 01:10:00,0
147,2020-09-09 01:10:00,2020-09-16 13:50:00,1
148,2020-09-16 13:50:00,2020-09-21 17:40:00,0
149,2020-09-21 17:40:00,2020-10-01 22:00:00,1
150,2020-10-01 22:00:00,2020-10-06 23:50:00,0
151,2020-10-06 23:50:00,2020-10-13 13:30:00,1
152,2020-10-13 13:30:00,2020-11-02 20:50:00,0
153,2020-11-02 20:50:00,2020-11-09 06:30:00,1
154,2020-11-09 06:30:00,2020-11-10 17:40:00,0
155,2020-11-10 17:40:00,2020-11-17 01:00:00,1
156,2020-11-17 01:00:00,2020-11-19 11:00:00,0
157,2020-11-19 11:00:00,2020-12-09 01:00:00,1
158,2020-12-09 01:00:00,2020-12-10 16:30:00,0
159,2020-12-10 16:30:00,2020-12-18 16:20:00,1
160,2020-12-18 16:20:00,2020-12-21 17:40:00,0
161,2020-12-21 17:40:00,2021-01-04 11:30:00,1
162,2021-01-04 11:30:00,2021-01-06 10:40:00,0
163,2021-01-06 10:40:00,2021-01-08 23:50:00,1
164,2021-01-08 23:50:00,2021-01-18 02:00:00,0
165,2021-01-18 02:00:00,2021-01-26 23:10:00,1
166,2021-01-26 23:10:00,2021-02-01 01:10:00,0
167,2021-02-01 01:10:00,2021-02-10 09:40:00,1
168,2021-02-10 09:40:00,2021-02-10 17:40:00,0
169,2021-02-10 17:40:00,2021-02-16 03:40:00,1
170,2021-02-16 03:40:00,2021-03-05 18:20:00,0
171,2021-03-05 18:20:00,2021-03-16 17:50:00,1
172,2021-03-16 17:50:00,2021-03-25 18:20:00,0
173,2021-03-25 18:20:00,2021-04-16 15:10:00,1
174,2021-04-16 15:10:00,2021-04-21 16:40:00,0
175,2021-04-21 16:40:00,2021-04-29 15:50:00,1
176,2021-04-29 15:50:00,2021-05-04 18:50:00,0
177,2021-05-04 18:50:00,2021-05-07 15:40:00,1
178,2021-05-07 15:40:00,2021-05-13 11:50:00,0
179,2021-05-13 11:50:00,2021-05-17 01:10:00,1
180,2021-05-17 01:10:00,2021-05-19 16:10:00,0
181,2021-05-19 16:10:00,2021-06-01 16:40:00,1
182,2021-06-01 16:40:00,2021-06-03 16:50:00,0
183,2021-06-03 16:50:00,2021-06-15 04:10:00,1
184,2021-06-15 04:10:00,2021-06-16 21:40:00,0
185,2021-06-16 21:40:00,2021-07-07 16:30:00,1
186,2021-07-07 16:30:00,2021-07-08 16:40:00,0
187,2021-07-08 16:40:00,2021-07-14 17:00:00,1
188,2021-07-14 17:00:00,2021-07-19 17:30:00,0
189,2021-07-19 17:30:00,2021-07-26 19:00:00,1
190,2021-07-26 19:00:00,2021-07-27 20:20:00,0
191,2021-07-27 20:20:00,2021-08-05 22:50:00,1
192,2021-08-05 22:50:00,2021-08-19 11:20:00,0
193,2021-08-19 11:20:00,2021-09-06 10:20:00,1
194,2021-09-06 10:20:00,2021-09-20 22:10:00,0
195,2021-09-20 22:10:00,2021-09-27 09:00:00,1
196,2021-09-27 09:00:00,2021-10-04 20:00:00,0
197,2021-10-04 20:00:00,2021-10-07 19:00:00,1
198,2021-10-07 19:00:00,2021-10-12 23:20:00,0
199,2021-10-12 23:20:00,2021-10-21 22:50:00,1
200,2021-10-21 22:50:00,2021-10-22 18:40:00,0
201,2021-10-22 18:40:00,2021-11-05 16:30:00,1
202,2021-11-05 16:30:00,2021-11-10 21:40:00,0
203,2021-11-10 21:40:00,2021-11-22 17:10:00,1
204,2021-11-22 17:10:00,2021-11-26 19:50:00,0
205,2021-11-26 19:50:00,2021-11-30 17:10:00,1
206,2021-11-30 17:10:00,2021-12-03 22:00:00,0
207,2021-12-03 22:00:00,2021-12-08 13:40:00,1
208,2021-12-08 13:40:00,2021-12-14 19:40:00,0
209,2021-12-14 19:40:00,2021-12-16 13:40:00,1
210,2021-12-16 13:40:00,2021-12-20 18:30:00,0
211,2021-12-20 18:30:00,2021-12-28 14:40:00,1
212,2021-12-28 14:40:00,2022-01-10 17:40:00,0
213,2022-01-10 17:40:00,2022-01-12 17:10:00,1
214,2022-01-12 17:10:00,2022-01-24 19:10:00,0
215,2022-01-24 19:10:00,2022-02-02 14:20:00,1
216,2022-02-02 14:20:00,2022-02-04 16:00:00,0
217,2022-02-04 16:00:00,2022-02-09 23:20:00,1
218,2022-02-09 23:20:00,2022-02-24 09:20:00,0
219,2022-02-24 09:20:00,2022-03-03 16:10:00,1
220,2022-03-03 16:10:00,2022-03-08 08:20:00,0
221,2022-03-08 08:20:00,2022-03-11 13:20:00,1
222,2022-03-11 13:20:00,2022-03-15 12:10:00,0
223,2022-03-15 12:10:00,2022-03-29 22:30:00,1
224,2022-03-29 22:30:00,2022-04-18 02:40:00,0
225,2022-04-18 02:40:00,2022-04-20 14:50:00,1
226,2022-04-20 14:50:00,2022-05-02 21:40:00,0
